무인교통단속카메라관리번호,시도명,시군구명,도로종류,도로노선번호,도로노선명,도로노선방향,소재지도로명주소,소재지지번주소,위도,경도,설치장소,단속구분,제한속도,단속구간위치구분,과속단속구간길이,보호구역구분,설치연도,관리기관명,관리기관전화번호,데이터기준일자
F4383,서울특별시,용산구,특별시도,,효창원로,2,서울특별시 용산구 효창원로 137,,37.54094231,126.9618319,금양초등학교  앞,2,30,,,2,2008,서울특별시경찰청,02-700-5031,8/19/2022
F4385,서울특별시,도봉구,특별시도,,방학로,2,서울특별시 도봉구 방학로 101,,37.66261894,127.0410483,방학사거리,2,50,,,,2008,서울특별시경찰청,02-700-5031,8/19/2022
F4387,서울특별시,양천구,특별시도,,안양천로,2,서울특별시 양천구 안양천로 1039,,37.53539226,126.8877343,양정중학교 앞,2,50,,,,2008,서울특별시경찰청,02-700-5031,8/19/2022
F4393,서울특별시,강동구,일반국도,43,천호대로,2,서울특별시 강동구 천호대로 1477,,37.54757217,127.1726635,상일사거리,2,50,,,,2008,서울특별시경찰청,02-700-5031,8/19/2022
F4394,서울특별시,종로구,일반국도,6,종로,1,서울특별시 종로구 종로 186,,37.57044596,126.9983949,종로4가 교차로,2,50,,,,2008,서울특별시경찰청,02-700-5031,8/19/2022
F4396,서울특별시,노원구,특별시도,,화랑로,2,서울특별시 노원구 화랑로 727,,37.63478143,127.1016921,태릉선수촌입구 전방100m,1,50,,,,2008,서울특별시경찰청,02-700-5031,8/19/2022
F4399,서울특별시,마포구,일반국도,48,성산로,2,서울특별시 마포구 성산로 206,,37.56675416,126.9161067,모래내고가차도 종점,1,50,,,,2008,서울특별시경찰청,02-700-5031,8/19/2022
F4400,서울특별시,영등포구,특별시도,,도림천로,2,서울특별시 영등포구 대림동 616-1,서울특별시 영등포구 대림동 616-1,37.50509899,126.8939976,신도림고가차도 종점,1,50,,,,2008,서울특별시경찰청,02-700-5031,8/19/2022
F4403,서울특별시,마포구,일반국도,48,성산로,1,서울특별시 마포구 성산동 565-9,서울특별시 마포구 성산동 565-9,37.56044308,126.8967713,성산대교북단 교차로,1,50,,,,2008,서울특별시경찰청,02-700-5031,8/19/2022
F4404,서울특별시,광진구,일반국도,3,동일로,1,서울특별시 광진구 동일로 398,,37.565887,127.0777383,현대오일뱅크 중원주유소 앞,1,50,,,,2008,서울특별시경찰청,02-700-5031,8/19/2022
F4406,서울특별시,영등포구,고속국도,88,올림픽대로,1,서울특별시 영등포구 양화동 1-43,서울특별시 영등포구 양화동 1-43,37.54790297,126.8877116,한강공원 양화지구 앞,1,80,,,,2008,서울특별시경찰청,02-700-5031,8/19/2022
F4409,서울특별시,송파구,고속국도,88,올림픽대로,1,서울특별시 송파구 신천동 5,서울특별시 송파구 신천동 5,37.52243873,127.1009041,장미1차아파트 15동 앞,1,80,,,,2008,서울특별시경찰청,02-700-5031,8/19/2022
F4413,서울특별시,중랑구,특별시도,,북부간선도로,2,서울특별시 중랑구 신내동 296-2,서울특별시 중랑구 신내동 296-2,37.6165991,127.0980956,신내IC 후방 100m,1,70,,,,2008,서울특별시경찰청,02-700-5031,8/19/2022
F4417,서울특별시,양천구,특별시도,,목동서로,2,서울특별시 양천구 목동서로 225,,37.52707541,126.870746,신시가지아파트 705동 앞,1,50,,,,2008,서울특별시경찰청,02-700-5031,8/19/2022
F4419,서울특별시,도봉구,일반국도,3,도봉로,2,서울특별시 도봉구 도봉로 941,,37.68837403,127.045344,도봉산역 1번출구 건너편,1,50,,,,2008,서울특별시경찰청,02-700-5031,8/19/2022
F4420,서울특별시,도봉구,특별시도,,도봉로,2,서울특별시 도봉구 쌍문동 103-6,서울특별시 도봉구 쌍문동 103-6,37.64588348,127.0326169,강북힘찬병원 건너편,1,50,,,,2008,서울특별시경찰청,02-700-5031,8/19/2022
