태풍번호,태풍명,영문명,진행여부,영향도,발생,소멸,비고
1,시마론,CIMARON,종료,없음,2001.05.11 15:00,2001.05.13 15:00,null
2,제비,CHEBI,종료,없음,2001.06.20 15:00,2001.06.24 21:00,null
3,투리안,DURIAN,종료,없음,2001.06.30 15:00,2001.07.03 03:00,null
4,우토,UTOR,종료,없음,2001.07.02 09:00,2001.07.06 21:00,null
5,차미,TRAMI,종료,없음,2001.07.10 09:00,2001.07.12 14:00,null
6,콩레이,KONG-REY,종료,없음,2001.07.23 09:00,2001.07.29 09:00,null
7,위투,YUTU,종료,없음,2001.07.24 09:00,2001.07.26 11:00,null
8,도라지,TORAJI,종료,없음,2001.07.27 09:00,2001.07.31 09:00,null
9,마니,MAN-YI,종료,없음,2001.08.02 21:00,2001.08.09 15:00,null
10,우사기,USAGI,종료,없음,2001.08.10 15:00,2001.08.11 09:00,null
11,파북,PABUK,종료,직접영향,2001.08.14 21:00,2001.08.23 09:00,null
12,우딥,WUTIP,종료,없음,2001.08.27 21:00,2001.09.02 03:00,null
13,서팟,SEPAT,종료,없음,2001.08.28 09:00,2001.08.30 09:00,null
14,피토,FITOW,종료,없음,2001.08.31 09:00,2001.08.31 15:00,null
15,다나스,DANAS,종료,없음,2001.09.04 09:00,2001.09.12 09:00,null
16,나리,NARI,종료,없음,2001.09.06 09:00,2001.09.19 21:00,null
17,비파,VIPA,종료,없음,2001.09.18 09:00,2001.09.21 21:00,null
18,프란시스코,FRANCISCO,종료,없음,2001.09.20 09:00,2001.09.26 03:00,null
19,레기마,LEKIMA,종료,없음,2001.09.22 21:00,2001.09.29 21:00,null
20,크로사,KROSA,종료,없음,2001.10.04 15:00,2001.10.09 15:00,null
21,하이옌,HAIYAN,종료,없음,2001.10.13 03:00,2001.10.18 21:00,null
22,버들,PODUL,종료,없음,2001.10.20 09:00,2001.10.28 09:00,null
23,링링,LINGLING,종료,없음,2001.11.07 03:00,2001.11.12 21:00,null
24,가지키,KAJIKI,종료,없음,2001.12.05 15:00,2001.12.08 21:00,null
25,파사이,FAXAI,종료,없음,2001.12.17 03:00,2001.12.26 12:00,null
26,와메이,VAMEI,종료,없음,2001.12.27 21:00,2001.12.28 12:00,null
1,타파,TAPAH,종료,없음,2002.01.12 15:00,2002.01.13 21:00,null
2,미톡,MITAG,종료,없음,2002.02.28 21:00,2002.03.08 21:00,null
3,하기비스,HAGIBIS,종료,없음,2002.05.16 21:00,2002.05.22 03:00,null
4,너구리,NOGURI,종료,없음,2002.06.08 15:00,2002.06.11 15:00,null
5,라마순,RAMMASUN,종료,상륙,2002.06.29 15:00,2002.07.06 21:00,null
6,차타안,CHATAAN,종료,없음,2002.06.29 18:00,2002.07.12 05:00,null
7,할롱,HALONG,종료,없음,2002.07.08 09:00,2002.07.17 09:00,null
8,나크리,NAKRI,종료,직접영향,2002.07.09 03:00,2002.07.13 21:00,null
9,펑셴,FENGSHEN,종료,직접영향,2002.07.15 06:00,2002.07.27 21:00,null
10,갈매기,KALMAEGI,종료,없음,2002.07.20 21:00,2002.07.21 18:00,null
11,퐁웡,FUNG-WONG,종료,없음,2002.07.21 09:00,2002.07.27 12:00,null
12,간무리,KAMMURI,종료,없음,2002.08.04 03:00,2002.08.06 03:00,null
13,판폰,PHANFONE,종료,없음,2002.08.12 09:00,2002.08.21 12:00,null
14,봉퐁,VONGFONG,종료,없음,2002.08.18 11:00,2002.08.20 06:00,null
15,루사,RUSA,종료,상륙,2002.08.23 09:00,2002.09.01 15:00,null
16,신라쿠,SINLAKU,종료,없음,2002.08.29 15:00,2002.09.08 06:00,null
17,엘레,ELE,종료,없음,2002.08.30 12:00,2002.09.10 03:00,null
18,하구핏,HAGUPIT,종료,없음,2002.09.11 09:00,2002.09.12 09:00,null
19,장미,CHANGMI,종료,없음,2002.09.22 09:00,2002.09.23 09:00,null
20,멕클라,MEKKHALA,종료,없음,2002.09.25 12:00,2002.09.28 09:00,null
21,히고스,HIGOS,종료,없음,2002.09.27 15:00,2002.10.02 12:00,null
22,바비,BAVI,종료,없음,2002.10.09 21:00,2002.10.14 03:00,null
23,마이삭,MAYSAK,종료,없음,2002.10.28 09:00,2002.10.30 12:00,null
24,허코,HUKO,종료,없음,2002.11.03 21:00,2002.11.07 09:00,null
25,하이셴,HAISHEN,종료,없음,2002.11.21 03:00,2002.11.25 09:00,null
26,봉선화,PONGSONA,종료,없음,2002.12.03 21:00,2002.12.11 15:00,null
1,야냔,YANYAN,종료,없음,2003.01.18 15:00,2003.01.20 21:00,null
2,구지라,KUJIRA,종료,없음,2003.04.11 09:00,2003.04.25 12:00,null
3,찬홈,CHAN-HOM,종료,없음,2003.05.20 21:00,2003.05.27 18:00,null
4,린파,LINFA,종료,직접영향,2003.05.26 09:00,2003.05.31 09:00,null
5,낭카,NANGKA,종료,없음,2003.06.01 15:00,2003.06.04 12:00,null
6,소델로,SOUDELOR,종료,직접영향,2003.06.13 18:00,2003.06.20 03:00,null
7,임부도,IMBUDO,종료,없음,2003.07.17 15:00,2003.07.25 06:00,null
8,고니,KONI,종료,없음,2003.07.18 15:00,2003.07.23 03:00,null
9,모라콧,MORAKOT,종료,없음,2003.08.02 15:00,2003.08.04 18:00,null
10,아타우,ETAU,종료,직접영향,2003.08.03 18:00,2003.08.10 06:00,null
11,밤코,VAMCO,종료,없음,2003.08.19 12:00,2003.08.20 12:00,null
12,크로반,KROVANH,종료,없음,2003.08.20 21:00,2003.08.26 18:00,null
13,두지앤,DUJUAN,종료,없음,2003.08.30 03:00,2003.09.03 09:00,null
14,매미,MAEMI,종료,상륙,2003.09.06 15:00,2003.09.14 06:00,null
15,초이완,CHOI-WAN,종료,없음,2003.09.18 06:00,2003.09.23 09:00,null
16,곳푸,KOPPU,종료,없음,2003.09.27 03:00,2003.09.30 15:00,null
17,켓사나,KETSANA,종료,없음,2003.10.19 15:00,2003.10.26 21:00,null
18,파마,PARMA,종료,없음,2003.10.21 09:00,2003.10.31 21:00,null
19,멀로,MELOR,종료,없음,2003.10.30 21:00,2003.11.04 09:00,null
20,니파탁,NEPARTAK,종료,없음,2003.11.13 03:00,2003.11.19 15:00,null
