연도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연합계,순위
평년,0,0,0.3,0.1,0.1,0.1,0,0,0.1,0.1,0.2,0.1,1.1,
최근 10년,0,0,0.3,0,0.1,0.1,0,0,0.2,0.1,0,0,0.8,
최근  5년,0,0,0.6,0,0.2,0,0,0,0.2,0.2,0,0,1.2,
2001,0,0,0,0,0,0,0,0,0,0,0,0,0,12
2002,0,0,0,0,0,0,0,0,1,0,0,0,1,4
2003,0,0,0,0,0,0,0,0,0,0,0,0,0,12
2004,0,0,0,0,0,0,0,0,0,0,0,0,0,12
2005,0,0,0,0,0,0,0,0,0,0,0,0,0,12
2006,1,0,0,0,0,0,0,0,0,0,0,0,1,4
2007,0,0,1,0,0,0,0,0,0,0,0,0,1,4
2008,0,0,0,0,0,0,0,0,0,0,0,0,0,12
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,12
2010,0,0,0,0,0,0,0,0,0,0,1,0,1,4
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,12
2012,0,0,0,0,0,0,0,0,0,0,1,0,1,4
2013,0,0,0,0,0,0,0,0,0,0,0,0,0,12
2014,0,0,0,0,0,0,0,0,0,0,0,0,0,12
2015,0,0,0,0,0,0,0,0,0,0,0,0,0,12
2016,0,0,0,0,0,0,0,0,1,0,0,0,1,4
2017,0,0,0,0,0,1,0,0,0,0,0,0,1,4
2018,0,0,0,0,1,0,0,0,0,1,0,0,2,2
2019,0,0,3,0,0,0,0,0,0,0,0,0,3,1
2020,0,0,0,0,0,0,0,0,1,0,0,0,1,4
2021,0,0,0,0,0,0,0,0,0,0,0,0,0,12
2022,0,0,0,0,0,0,0,0,0,0,0,0,0,12
2023,0,0,0,0,0,1,0,0,0,1,0,0,2,2
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
평균 계절별 우박일수,,,,,,,,,,,,,,
연도,봄(3~5월),여름(6~8월),가을(9~11월),겨울(12~익년2월),,,,,,,,,,
평년,0.4,0.1,0.4,0.1,,,,,,,,,,
최근 10년,0.4,0.1,0.3,0,,,,,,,,,,
최근  5년,0.8,0,0.4,0,,,,,,,,,,
2001,0,0,0,0,,,,,,,,,,
2002,0,0,1,0,,,,,,,,,,
2003,0,0,0,0,,,,,,,,,,
2004,0,0,0,0,,,,,,,,,,
2005,0,0,0,1,,,,,,,,,,
2006,0,0,0,0,,,,,,,,,,
2007,1,0,0,0,,,,,,,,,,
2008,0,0,0,0,,,,,,,,,,
2009,0,0,0,0,,,,,,,,,,
2010,0,0,1,0,,,,,,,,,,
2011,0,0,0,0,,,,,,,,,,
2012,0,0,1,0,,,,,,,,,,
2013,0,0,0,0,,,,,,,,,,
2014,0,0,0,0,,,,,,,,,,
2015,0,0,0,0,,,,,,,,,,
2016,0,0,1,0,,,,,,,,,,
2017,0,1,0,0,,,,,,,,,,
2018,1,0,1,0,,,,,,,,,,
2019,3,0,0,0,,,,,,,,,,
2020,0,0,1,0,,,,,,,,,,
2021,0,0,0,0,,,,,,,,,,
2022,0,0,0,0,,,,,,,,,,
2023,0,1,1,0,,,,,,,,,,
