연도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연합계,순위
평년,0,0,0,0,0,0,2.7,3.5,0.1,0,0,0,6.3,
1973,0,0,0,0,0,0,3.4,2.8,0,0,0,0,6.2,15
1974,0,0,0,0,0,0,0.1,1.2,0,0,0,0,1.3,49
1975,0,0,0,0,0,0,2.6,2.7,0.3,0,0,0,5.5,24
1976,0,0,0,0,0,0,0.2,2.1,0,0,0,0,2.4,42
1977,0,0,0,0,0,0,1.6,1.3,0.1,0,0,0,3,39
1978,0,0,0,0,0,0.2,4.5,3.4,0,0,0,0,8.1,12
1979,0,0,0,0,0,0,1.2,2.3,0,0,0,0,3.6,36
1980,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,50
1981,0,0,0,0,0,0.1,2.9,1.7,0,0,0,0,4.8,31
1982,0,0,0,0,0,0,0.1,2,0,0,0,0,2.1,45
1983,0,0,0,0,0,0,2.9,2.5,0.2,0,0,0,5.7,21
1984,0,0,0,0,0,0,1.4,3.9,0.3,0,0,0,5.6,23
1985,0,0,0,0,0,0,1.3,3.1,0.5,0,0,0,4.9,28
1986,0,0,0,0,0,0,0.6,1.2,0,0,0,0,1.9,46
1987,0,0,0,0,0,0,0.6,1.1,0,0,0,0,1.8,47
1988,0,0,0,0,0,0,1.7,1,0,0,0,0,2.7,40
1989,0,0,0,0,0,0,1.3,0.9,0,0,0,0,2.2,44
1990,0,0,0,0,0,0,3,2.8,0.7,0,0,0,6.5,14
1991,0,0,0,0,0,0.1,2.9,0.5,0.2,0,0,0,3.6,35
1992,0,0,0,0,0,0,3.3,0.7,0.9,0,0,0,4.9,29
1993,0,0,0,0,0,0,0,0.1,0,0,0,0,0.2,51
1994,0,0,0,0,0,0.1,8.5,7.9,0.3,0,0,0,16.8,1
1995,0,0,0,0,0,0,2.7,5.8,0.1,0,0,0,8.6,10
1996,0,0,0,0,0,0,3,2.8,0,0,0,0,5.8,20
1997,0,0,0,0,0,0,2.1,2.7,0.4,0,0,0,5.3,26
1998,0,0,0,0,0,0,1.9,3.9,0,0,0,0,5.8,19
1999,0,0,0,0,0,0,1,1.1,0.2,0,0,0,2.3,43
2000,0,0,0,0,0,0,2.6,1.5,0.1,0,0,0,4.2,34
2001,0,0,0,0,0,0.1,3.7,2.2,0,0,0,0,6,18
2002,0,0,0,0,0,0,1.3,2,0,0,0,0,3.3,37
2003,0,0,0,0,0,0,0.1,1.2,0.2,0,0,0,1.5,48
2004,0,0,0,0,0,0,2.8,1.5,0,0,0,0,4.3,32
2005,0,0,0,0,0,0.3,1.1,3.2,0.2,0,0,0,4.8,30
2006,0,0,0,0,0,0,1.7,3.3,0,0,0,0,5.1,27
2007,0,0,0,0,0,0,0.9,4.8,0.5,0,0,0,6.1,16
2008,0,0,0,0,0,0,4,2.1,0,0,0,0,6.1,17
2009,0,0,0,0,0,0.1,1.1,1.3,0,0,0,0,2.5,41
2010,0,0,0,0,0,0,3,7.8,0.6,0,0,0,11.5,5
2011,0,0,0,0,0,0.2,2.4,3,0,0,0,0,5.6,22
2012,0,0,0,0,0,0,2.6,6.4,0,0,0,0,9.1,9
2013,0,0,0,0,0,0,5.9,8.1,0,0,0,0,14,3
2014,0,0,0,0,0,0,2.1,0.8,0,0,0,0,3,38
2015,0,0,0,0,0,0,2.4,1.9,0,0,0,0,4.2,33
2016,0,0,0,0,0,0,3.8,6.2,0,0,0,0,10,8
2017,0,0,0,0,0,0.1,5.8,4.2,0,0,0,0,10.1,7
2018,0,0,0,0,0,0,7.1,9.4,0,0,0,0,16.6,2
2019,0,0,0,0,0,0,4.4,5.3,0.5,0,0,0,10.2,6
2020,0,0,0,0,0,0,0.2,7.1,0.1,0,0,0,7.4,13
2021,0,0,0,0,0,0,3.8,1.6,0,0,0,0,5.5,25
2022,0,0,0,0,0,1.2,3.8,7.9,0.3,0,0,0,13.2,4
2023,0,0,0,0,0,0.1,2.6,5.4,0.1,0,0,0,8.2,11
