구분/지역명 ◁ ▷,,,,총계,,2002년,,2003년,,2004년,,2005년,,2006년,,2007년,,2008년,,2010년,,2011년,,2012년,,2013년,,2014년,,2015년,,2016년,,2017년,,2018년,,2019년,,2020년,,2021년,
총이재민,,,세대/명,"46,374","138,473","21,325","63,097","19,851","61,844","1,544","4,933",342,911,5,6,201,478,624,"1,672",900,"2,174","1,582","3,358","3,575","7,756",0,0,11,24,8,19,"2,949","6,714",0,0,"1,244","2,410","3,685","7,014","1,199","2,206",488,887
인명,사망,,명,366,,210,,120,,9,,3,,0,,16,,0,,7,,1,,14,,0,,0,,0,,6,,0,,2,,18,,2,,0,
,실종,,명,53,,37,,13,,0,,3,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
,부상,,명,484,,75,,376,,5,,4,,1,,9,,0,,11,,3,,37,,0,,0,,0,,3,,0,,4,,22,,10,,1,
,계,,명,903,,322,,509,,14,,10,,1,,25,,0,,18,,4,,51,,0,,0,,0,,9,,0,,6,,40,,12,,1,
침수,농경지,,ha,"99,801.86",,"31,631.32",,"35,843.83",,"26,971.87",,"2,564.88",,0,,"2,683.21",,37.98,,0.28,,68.49,,245.6,,0,,0,,0,,630.1,,0,,0,,201.54,,574,,0,
,도시,,ha,614.83,,132.3,,454.76,,27.52,,0.14,,0,,0,,0,,0,,0.11,,45.44,,0,,0,,0,,0,,0,,0,,0,,0,,0,
,계,,ha,"100,416.69",,"31,763.62",,"36,298.59",,"26,999.39",,"2,565.02",,0,,"2,683.21",,37.98,,0.28,,68.6,,291.04,,0,,0,,0,,630.1,,0,,0,,201.54,,574,,0,
건물,주건물,유실·전파,동,"5,035",,"2,839",,"1,753",,213,,84,,0,,61,,2,,29,,54,,246,,0,,2,,0,,11,,0,,7,,65,,25,,2,
,,반파,동,"9,149",,"4,808",,"3,348",,81,,91,,5,,151,,15,,530,,120,,"1,326",,0,,2,,0,,57,,0,,40,,207,,207,,13,
,,침수,동,"87,187",,"27,588",,"45,919",,"4,856",,847,,4,,"5,115",,653,,911,,"1,294",,"3,109",,0,,36,,6,,"2,881",,0,,"1,172",,"3,131",,817,,448,
